Athlete_Name,Country,Coach,Team,Gold_Medals_Per_Country
Nacuqu Waisea,Fiji,Baber Gareth Colin,Fiji,1.0
Radiniyavuni Roela,Fiji,Fuli Saiasi,Fiji,1.0
Radiniyavuni Roela,Fiji,Baber Gareth Colin,Fiji,1.0
Tuivuaka Asaeli,Fiji,Fuli Saiasi,Fiji,1.0
Tuivuaka Asaeli,Fiji,Baber Gareth Colin,Fiji,1.0
Nasoko Kalione,Fiji,Fuli Saiasi,Fiji,1.0
Nasoko Kalione,Fiji,Baber Gareth Colin,Fiji,1.0
Naimasi Ana Maria,Fiji,Fuli Saiasi,Fiji,1.0
Naimasi Ana Maria,Fiji,Baber Gareth Colin,Fiji,1.0
Nagasau Rusila,Fiji,Fuli Saiasi,Fiji,1.0
Nagasau Rusila,Fiji,Baber Gareth Colin,Fiji,1.0
Seniyasi Tokasa,Fiji,Fuli Saiasi,Fiji,1.0
Seniyasi Tokasa,Fiji,Baber Gareth Colin,Fiji,1.0
Likuceva Laisana,Fiji,Fuli Saiasi,Fiji,1.0
Likuceva Laisana,Fiji,Baber Gareth Colin,Fiji,1.0
Tuwai Jerry,Fiji,Fuli Saiasi,Fiji,1.0
Tuwai Jerry,Fiji,Baber Gareth Colin,Fiji,1.0
Vakurunabili Josua,Fiji,Fuli Saiasi,Fiji,1.0
Vakurunabili Josua,Fiji,Baber Gareth Colin,Fiji,1.0
Nakoci Alowesi,Fiji,Fuli Saiasi,Fiji,1.0
Nakoci Alowesi,Fiji,Baber Gareth Colin,Fiji,1.0
Tuimaba Aminiasi,Fiji,Fuli Saiasi,Fiji,1.0
Tuimaba Aminiasi,Fiji,Baber Gareth Colin,Fiji,1.0
